time_positive;time_negative;time_total;len_T
31044354.07;31052064.84;35676111.43;5000
38704130.77;37981546.84;43581057.58;6000
45323463.89;44888183.03;51303546.57;7000
51839240.42;50615529.31;58436439.09;8000
57850680.27;56738112.25;65805413.14;9000
65394673.69;64197234.03;75038626.59;10000
70088308.74;70282283.53;80685438.14;11000
78881321.1;79100033.54;89522269.39;12000
83421416.69;83140202.31;96017467.44;13000
91298334.44;90314382.73;103156818.72;14000
97006899.74;94550819.78;111684596.84;15000
