timetotal;timepositive;timenegative;len_T
51009540152.7;50567131235.88;51897819225.88;5000
62083488317.3;61439992751.64;63871779109.8;6000
72042242130.7;71547184730.56;73513657391.24;7000
80749402792.22;80368965842;82479425868.3;8000
92121284082.42;91735669525.92;93438459456.64;9000
106884950166.74;105608348093.76;93132932041.5;10000
118466460132.28;117281019675.34;92973842166;11000
129699725214.24;128164946552.32;87299214863.08;12000
139251420683.48;137724904026.38;96515989688.64;13000
148637610682.92;145488910144.86;96757967127.8;14000
155294874774.36;153730159909.18;121701738544.78;15000
