Baseline;RecordEnumeration;Snake;max_V_match_fraction
51549428.02;379002842.42;90050461.1;0.0
50715308.04;525870804.4;130964943.28;0.1
51057687.2;372947755.96;87792037.88;0.2
51804751.58;372771648.84;90033993.18;0.3
52655663.56;376490045.44;91864338.04;0.4
53013452.2;379260975.08;91978822.32;0.5
54893030.88;381438655.48;93900765.86;0.6
54978162.74;378592082.6;95722281.48;0.7
55847600.66;382677481.38;95885427.9;0.8
56574722.12;382069575.9;95913795.28;0.9
58448389.62;389723834.86;94098711.08;1.0
